id_video,c1_description,c2_description,c3_description,c4_description,c5_description,c6_description,c7_description,c8_description
P_000,"One hand, back of the hand facing up, moving upwards, once + one hand, index finger extended, pointing upwards, repeatedly","One hand, index finger extended pointing down, stationary","One hand, thumb finger and index finger pinching together, swiping over mouth rightwards, once","One hand, thumb finger and index finger pinching together, swiping over mouth leftwards, once","One hand, thumb finger and other fingers tapping together, opening downward","One hand, closed palm facing outward, opening fingers outward","One hand, open and raised palm, facing forward, stationary","One hand, thumb finger and index finger tapping together, closing downward"
P_001,"One hand, curved hand, positioned on the side of the head, behind the ear, stationary","One hand, curved hand near the ear, stationary + one hand, index finger extended pointing down, moving downwards, repeatedly","Two hands, open palms crossing in front, spreading sideways, once",Unknown,"One hand index pointing outward, swiping rightward","One hand, index pointing outward, swiping rightward","One hand, open and raised palm, facing forward, stationary","One hand, open palmfacing forward, waving left-right, repeatedly"
P_002,"One hand, index extended, positioned on the side of the head, pointing to ear, stationary + one hand, index finger extended pointing up, moving uowards, repeatedly","One hand, index finger extended near the ear, stationary + one hand, index finger extended pointing down, moving downwards, repeatedly","One hand, index finger extended near the ear, stationary + one hand, hands stacked in front, spreading apart sideways, once","One hand, index finger extended near the ear, stationary + index finger extended, pointing up, repeatedly","One hand, index and middle fingers pointing at the eyes, stationary + two hands, hands stacked together in front, spreading outwards","One hand, index and middle fingers pointing at the eyes, stationary + one hand, thumb finger extended upward, stationary","One hand, index finger extended upward, stationary","Two hands, open palms facing down, hands stacked together in front, spreading outwards, once"
P_003,"One hand, index finger extended, pointing upwards, repeatedly","Onde hand, index finger extended pointing down, moving downwards, repeatedly","One hand, index finger extended placed over the mouth, stationary","One hand, closed palm facing outward, quickly opening and closing fingers, repeatedly","One hand, arm extended, open palm facing outward, blocking view in front, moving front-to-back, repeatedly","One hand, open palm facing forward, waving left-right, repeatedly","One hand, index finger extended upward, stationary","One hand, open palm facing outward, moving up-down, repeatedly"
P_004,"One hand, curved hand, positioned on the side of the head, behind the ear, stationary + one hand, fingers pinching knob, rotating clockwise, repeatedly","One hand, open palmfacing down, moving downwards, repeatedly","One hand, open hand with finger extended, all fingers tapping together, repeadetly","One hand, closed palm facing outward, quickly opening and closing fingers, repeatedly","One hand, open palm facing inward, blocking view in front, moving up-down, repeatedly","One hand, open palm facing forward, waving left-right, repeatedly","One hand, index finger extended upward, stationary","Two hands, open palms crossing in front, spreading sideways, once + one hand, closed palm, raised on the side, stationary"
P_005,"One hand, open palm facing up, moving upwards, repeatedly","One hand, open palm facing down, moving downwards, repeatedly","One hand, open palm pointing front facing left, swiping leftwards, repeatedly","One hand, open palm extended outward, swiping righttward","One hand, arms extended, open palm facing outward, blocking view in front, moving forward, onc","One hand, arm extended, open palm facing forward, moving back inward","One hand, index finger extended upward, stationary","One hand, open open palm facing down, moving downwards"
P_006,"One hand, index finger extended, pointing upwards, repeatedly","One hand, index finger extended pointing down, moving downwards, repeatedly","Two hands, hands open in front, stacking together downward, once","Two hands, hands stacked together in front, spreading outwards, once","One hand, palm facing outward, blocking view in front, moving forward, once","One hand, open palm extended outward, swiping righttward","One hand, open and raised palm, facing forward, stationary","One hand, palm open facing forward, waving left-right, repeatedly"
P_007,"One hand, index finger extended, positioned on the side of the head, pointing to ear, stationary + one hand, index finger extended, pointing upwards, repeatedly","One hand, open palm facing down, moving downwards, repeatedly","One hand, open palm near mouth, turning face rightwards, once",Unknown,"One hand, index finger extended, pointing forward, repeatedly","One hand, fingers pinched together, moving outward","One hand, index finger extended upward, stationary","One hand, closed palm, thumb finger extended upward, stationary, both"
P_008,"One hand, open palm with back of the hand facing up, moving upwards, once ","One hand, open palm facing down, moving downwards, once","One hand, thumb finger and index finger pinching together, swiping over mouth rightwards, once","One hand, thumb finger and index finger pinching together, swiping over mouth leftwards, once","One hand, arm extended, open palm facing outward, blocking view in front, moving front-to-back, repeatedly","One hand, thumb finger and middle finger flicking together, produce a snapping sound, once","One hand, open and raised palm, facing forward, stationary","One hand, open palm facing forward, waving left-right, repeatedly"
P_009,"One hand, fingers pinching knob, rotating clockwise, repeatedly","One hand, fingers pinching knob, rotating counterclockwise, repeatedly","One hand, open palm facing front, closing fist inward, once","One hand, open palm facing outward, opening and closing fingers, repeatedly","One hand, open palm facing down, moving up-down","One hand, open palm facing up, moving upwards","One hand, open and raised palm, facing forward, stationary","One hand, open palm facing down, closing fist inward, once"
P_010,"One hand, index finger extended pointing sideward, swiping upward, repeatedly","One hand, index finger extended pointing sideward, swiping downwards, repeatedly","One hand, four fingers extended placed over the mouth, stationary","One hand, open palm touching mouth, moving away from mouth, outward","Two hands, open palms facing out crossing in front, stationary","Two hands, open palms, hands stacked together in front, spreading outwards, once","One hand, index finger extended upward, stationary","One hand, open palm facing down, moving downwards"
P_011,"One hand, open palm facing up, moving upwards, repeatedly","One hand, open palm facing down, moving downwards, repeatedly","One hand, open palm facing front, closing fist inward, once","One hand, closed palm facing outward, quickly opening fingers outward","Two hands, palms facing outward, moving towards each other to the center, in front","Two hands, open palms facing outward, moving away from each other, in front","One hand, index finger extended upward, stationary","One hand, open palm facing front, closing fist leftwards, once"
P_012,"One hand, curved hand, positioned on the side of the head, behind the ear, stationary","One hand, curved hand near the ear, stationary + one hand, open palm facing down, moving downwards, repeatedly","One hand, index finger extended placed over the mouth, stationary","One hand, open palm fingers touching mouth, moving outward away from the mouth, opening fingers, repeatedly","One hand, idex finger extended, drawing a diagonal line, in front, repeatedly","Two hands, open palms facing inwards, fingers touching mouth, moving away from mouth, opening fingers outward","One hand, index finger extended upward, stationary","One hand, open palm facing forward, waving left-right, repeatedly"
P_013,"One hand, fingers pinching knob, rotating clockwise, repeatedly","One hand, fingers pinching knob, rotating counterclockwise, repeatedly","One hand, index finger extended placed over the mouth, stationary","One hand, right hand, open palm facing forward, moving towards the mouth, stationary","One hand, open and raised palm, facing forward, stationary","One hand, closed pal, thumb finger extended upward, stationary","One hand, index finger extended upward, stationary","One hand, open palm facing forward, waving left-right, repeatedly"
P_014,"One hand, index extended, positioned on the side of the head, pointing the ear, stationary + one hand, open palm facing up, moving upwards, repeatedly","One hand, open palm facing down, moving downwards, repeatedly","One hand, thumb finger and index finger pinching together, swiping over mouth rightwards, once","One hand, thumb finger and index finger pinching together, swiping over mouth leftwards, once","One hand, palm facing inward, moving downwards in front face, once","One hand, open palm facing inward, moving upwards in front of the face","One hand, open and raised palm, facing forward, stationary","One hand, closed palm near the right ear, moving downwards in front"
