id_video,c1_description,c2_description,c3_description,c4_description,c5_description,c6_description,c7_description,c8_description
p_000,"One hand, index finger extended and facing upwards, raised upwards once + One hand, all fingers open and facing downwards, moving downwards repeatedly","One hand, all fingers closed, facing forward, moving up and down repeatedly + One hand, index finger extended, facing downward, moving downward once","One hand, index and thumb fingers curved inwards, touching the face, stationary","One hand, all fingers curved inward, palm facing up, moving upwards repeatedly + One hand, all fingers open, palm facing forward, moving side-to-side repeatedly","One hand, all fingers open and facing forward, raised upwards once + One hand, all fingers closed into a loose fist, moving downwards repeatedly","One hand, index finger extended and facing forward, moving repeatedly upwards and downwards, once + One hand, all fingers open and facing forward, moving repeatedly leftwards and rightwards, once","One hand, all fingers open and facing forward, waving repeatedly leftwards and rightwards","One hand, all fingers open and facing forward, moving repeatedly leftwards and rightwards + One hand, index and thumb fingers pinched and facing forward, moving repeatedly upwards and downwards"
p_001,"One hand, all fingers open and facing inwards, touching the side of the head, stationary","One hand, all fingers open and curved inwards, touching the side of the head, stationary + One hand, index finger extended and pointing upwards, stationary","Two hands, all fingers open and slightly curved, facing each other, moving apart and together repeatedly + Two hands, all fingers open and crossed, facing forward, held stationary",No gestures performed,"One hand, index finger extended and facing forward, pointing upwards once + One hand, index finger extended and facing forward, pointing leftwards once","One hand, index finger extended and facing up, pointing upwards once","One hand, all fingers open and facing forward, raised upwards once + One hand, index finger extended and facing upward, pointing upwards once","One hand, all fingers open and facing forward, waving repeatedly leftwards and rightwards"
p_002,"One hand, index finger extended and facing upwards, pointing upwards repeatedly","One hand, index finger, pointing upwards, raised towards the face, once + One hand, closed hand, moving downwards repeatedly","One hand, index finger extended and facing upwards, touching the side of the head near the ear, stationary + One hand, index and middle fingers extended and facing upwards, moving away from the head, once","One hand, index finger extended and facing forward, touching the side of the head near the ear, stationary + One hand, index finger extended and facing upward, raised upwards, stationary","One hand, all fingers open and facing forward, raised upwards once + Two hands, all fingers open and facing up, moving apart repeatedly","One hand, all fingers open and facing forward, moving upwards repeatedly + One hand, thumb finger extended and facing up, raised upwards once","One hand, index finger point up, pointing upwards, stationary","Two hands, palms open and facing up, moving upwards and downwards repeatedly"
p_003,"One hand, index finger, extended and facing upwards, touching the face repeatedly","One hand, all fingers closed, palm facing in, touching the mouth, stationary","One hand, index finger extended and facing forward, touching the lips in a stationary gesture","One hand, all fingers open and facing forward, waving repeatedly","One hand, palm open and facing forward, moving leftwards repeatedly","One hand, all fingers open and facing forward, waving repeatedly leftwards and rightwards","One hand, index finger extended and facing up, moving upwards repeatedly + One hand, index finger extended and facing up, stationary","One hand, all fingers open and facing forward, waving repeatedly"
p_004,"One hand, index and thumb fingers pinched and facing forward, moving towards the face and touching the ear, once + One hand, all fingers open and facing forward, raised upwards, once","One hand, all fingers open and facing down, moving up and down repeatedly","One hand, all fingers open and curved, facing forward, raised upwards once + One hand, index finger extended, facing forward, moving upwards once","One hand, all fingers open and facing forward, raised upwards once + One hand, index and thumb fingers pinched and facing forward, raised upwards once","One hand, all fingers open and facing forward, moving upwards towards the face repeatedly + One hand, all fingers open and facing forward, moving leftwards and rightwards repeatedly","One hand, open palm facing down, moving upwards repeatedly + One hand, open palm facing forward, moving side to side repeatedly","One hand, index finger extended and facing up, raising upwards once + One hand, index finger extended and facing up, lowering downwards once","One hand, all fingers open and facing forward, moving upwards once + Two hands, all fingers open and facing each other, stationary"
p_005,"One hand, all fingers open and palm facing up, moving upwards and downwards repeatedly","One hand, all fingers open and facing forward, raised upwards once + One hand, all fingers open and facing down, moving downwards once","One hand, palm open and facing left, moving leftwards repeatedly","One hand, palm open and facing left, moving leftwards repeatedly","One hand, palm open and facing forward, moving upwards repeatedly + One hand, all fingers open and facing forward, moving forward once","One hand, palm open and facing forward, moving upwards repeatedly + One hand, palm open and facing forward, stationary","One hand, index finger extended and facing up, raised upwards, stationary","One hand, all fingers open and facing up, waving leftwards and rightwards repeatedly + Two hands, one palm open and facing down while the other hand's fist is raised upwards repeatedly"
p_006,"One hand, index finger extended and facing upwards, moving repeatedly upwards and downwards, once","One hand, closed hand with palm facing down, moving up and down repeatedly","Two hands, all fingers open and facing each other, moving apart and together repeatedly + Two hands, all fingers open and facing down, moving forward and backward repeatedly","One hand, all fingers open and facing up, waving leftwards and rightwards repeatedly","One hand, all fingers open and facing forward, raised and stationary","One hand, all fingers open and facing forward, moving leftwards repeatedly","One hand, all fingers open and facing forward, moving upwards repeatedly","One hand, all fingers open and facing forward, waving repeatedly"
p_007,"One hand, index finger, pointing upwards, stationary + One hand, all fingers, moving downwards, once","One hand, all fingers open and facing forward, raised upwards once","One hand, all fingers open and facing inwards, touching the face, stationary + One hand, all fingers closed into a fist, moving downwards, once",No gestures performed,"One hand, index finger extended and facing up, touching the side of the head once + One hand, index finger extended and facing forward, pointing forward repeatedly","One hand, index finger, pointing upwards, stationary + One hand, all fingers, open and facing forward, stationary","One hand, index finger extended and facing up, raised upwards and held stationary","Two hands, thumbs extended and facing up, raised and held stationary"
p_008,"One hand, palm open and facing down, moving up and down repeatedly + One hand, palm open and facing forward, moving up and down repeatedly","One hand, palm open and facing down, moving upwards repeatedly + One hand, palm open and facing down, moving downwards repeatedly","One hand, all fingers open and facing down, moving repeatedly downwards + One hand, index and thumb fingers forming a circle with other fingers extended, stationary in front of the face","One hand, all fingers curved, touching the side of the face, stationary + One hand, all fingers curved, moving downwards from the side of the face, once","One hand, all fingers open and facing forward, waving repeatedly + One hand, index finger pointing upwards, moving up and down repeatedly","One hand, all fingers closed, moving forward repeatedly","One hand, all fingers open and facing forward, waving repeatedly","One hand, all fingers open and facing forward, waving repeatedly leftwards and rightwards + one hand, all fingers open and facing forward, raised stationary"
p_009,"One hand, all fingers open and facing down, moving downwards once + One hand, index finger extended and facing forward, pointing forward once","One hand, index finger extended and facing forward, moving forward repeatedly","One hand, all fingers open and facing forward, moving upwards once + One hand, index finger extended and facing forward, moving downwards repeatedly","One hand, all fingers open and facing forward, spreading outwards repeatedly + One hand, thumb finger extended and facing up, moving upwards and downwards repeatedly","One hand, all fingers open and facing forward, moving upwards repeatedly + One hand, all fingers open and facing down, moving forward once","One hand, palm open and facing up, moving upwards repeatedly + One hand, fist closed and facing in, moving upwards repeatedly","One hand, all fingers open and facing forward, raised upwards once + One hand, all fingers closed into a fist, moving downwards once","One hand, all fingers open and facing forward, moving forward once + One hand, index finger extended and facing forward, pointing forward stationary"
