id_video,c1_description,c2_description,c3_description,c4_description,c5_description,c6_description,c7_description,c8_description
P_000,Hold the index finger up,Hold the index finger downwards,Imitate pulling a zipper across your lips to shut them,Hold imaginary zipper at end of mouth and release it,All fingers except the thumb is placed up against each other then a pinch with the fingers and the thumb is done (or with index and thumb),"All fingers is placed up against each other, like a whole finger pinch, and then fingers are moved away from eachother (or with index or thumb)",Open palm raised,All fingers except the thumb is placed up against each other then a pinch with the fingers and the thumb is done (or with index and thumb)
P_001,Hold hand up to ear in a cup shape as to hear something silent,Touch ear to point downwards with index finger,"Cross both open hands or arms, as to indicate a ""x""",Swipe from left to right with open palm or finger facing the camera,Swipe from right to left with open palm or finger facing the camera,Unkwown,Open palm raised,Normal side to side wave or normal open close hand wave - may be done with both hands
P_002,Touch ear to point upwards with index finger,Touch ear to point downwards with index finger,"Touch ear to open palms, facing down, together and just above table and then move outwards",Touch ear to point upwards with index finger,"Point with index and middle finger to own eyes and then point to imaginary person in front to open palms, facing down, together and just above table and then move outwards",Point with index and middle finger to own eyes and then make a thumb up with a single hand,Hold the index finger up,"Open palms, facing down, together and just above table and then move outwards"
P_003,Hold the index finger up and move the arm up,Hold the index finger downwards,"Hold the index finger, pointed up, up against the mouth",From fist open hand,Open palm moved slightly towards the camera,Normal side to side wave or normal open close hand wave - may be done with both hands,Hold the index finger up,"Open palm, facing up, to facing down but imitating closing a lid or open palm, arm partially extended out and slightly up to then putting it down"
P_004,Imitate holding a knob midair to then turn it clockwise,"Open palm, facing down, moving down and up (repeat a few times)",All fingers except the thumb is placed up against each other then a pinch with the fingers and the thumb is done (or with index and thumb),"All fingers is placed up against each other, like a whole finger pinch, and then fingers are moved away from eachother (or with index or thumb)","Move hand, with the back of the hand facing the camera, or facing down, from above the head to below the head","Open palm, facing the camera, from below the head to above to below",Hold the index finger up,"Cross both open hands or arms, as to indicate a ""x"""
P_005,"Open palm, facing down or facing up, moving up and down (repeat a few times)","Open palm, facing down, moving down and up (repeat a few times)",Swipe from left to right with open palm or finger facing the camera,Swipe from right to left with open palm or finger facing the camera,Open palm moved slightly towards the camera,Open palm slightly towards camera to away from camera,Hold the index finger up,"Open palm, facing up, to facing down but imitating closing a lid or open palm, arm partially extended out and slightly up to then putting it down"
P_006,Hold the index finger up,Hold the index finger downwards,"One palm over the table facing down, the other palm pushes down on the first like a button","Both palms over the table facing down one atop the other, remove the top palm like removing a lid",Open palm moved slightly towards the camera,Swipe from right to left with open palm or finger facing the camera,Open palm raised,Normal side to side wave or normal open close hand wave - may be done with both hands
P_007,Touch ear to point upwards with index finger,"Open palm, facing down, moving down and up (repeat a few times)",Slightly cover the mouth as to talk so only the one to your side can hear you,Unkwown,Press imaginary button so point with index finger towards the screen,"All fingers is placed up against each other, like a whole finger pinch, and then fingers are moved away from eachother (or with index or thumb)",Hold the index finger up,Both hands or single hand thumbs up
P_008,Palm facing upward or downward and then raising it,Palm facing down and then lowering it,Imitate pulling a zipper across your lips to shut them,"Imitate opening a zipper across your lips to open them (so more of a pushing the zipper, instead of pulling)",Open palm moved slightly towards the camera,Snap finger,Open palm raised,Normal side to side wave or normal open close hand wave - may be done with both hands
P_009,Imitate holding a knob midair to then turn it clockwise,Imitate holding a knob midair to then turn it counter clockwise,Slightly open hand to  closing the hand to a fist,From fist open hand,"Open palm, facing up, to facing down but imitating closing a lid or open palm, arm partially extended out and slightly up to then putting it down",Palm facing upward or downward and then raising it,Open palm raised,Slightly open hand to  closing the hand to a fist
P_010,Hand held slightly up and a relaxed fist and then move the index finger up and down (repeat a few times),Hand held slightly up and a relaxed fist with index up and then move the index finger down and up (repeat a few times),Cover the mouth with open palm,Cover the mouth with open palm or both hands to then move hand away,"Open palms, facing the camera, tilted inwards and may be placed upon eachother",Simulate opening the curtains with open palms,Hold the index finger up,"Open palm, facing up, to facing down but imitating closing a lid or open palm, arm partially extended out and slightly up to then putting it down"
P_011,Palm facing upward or downward and then raising it,Palm facing down and then lowering it,Slightly open hand to  closing the hand to a fist,From fist open hand,Simulate closing the curtains with open palms,Simulate opening the curtains with open palms,Hold the index finger up,Slightly open hand to  closing the hand to a fist
