id_video,c1_description,c2_description,c3_description,c4_description,c5_description,c6_description,c7_description,c8_description
p_000,"The user performs a sequence of gestures starting with a raised hand with fingers slightly bent, transitioning to a hand raised with the index finger pointing upward, and ending with a downward motion of the hand","The user performs a sequence of gestures starting with a rapid upward flick of the index finger, transitions to a pinching motion with the thumb and index finger pointing downward, and concludes with a downward sweeping motion of the hand","The user performs a gesture where the right hand moves upward with fingers slightly curled, touches the face near the mouth, transitions to a pose with the thumb and index finger forming a circle while the other fingers are extended, and then moves downward","The user performs a sequence of gestures starting with the right hand moving upward with fingers slightly curled, transitioning to a hand pose with fingers extended and palm facing outward, followed by a waving motion","The user performs a sequence of gestures starting with an open hand raised in front of the face with fingers spread, transitioning to a pinching motion with the thumb and index finger, followed by a repetitive tapping or pointing motion with the same fingers","The user performs a sequence of gestures starting with a closed fist moving slightly upward, transitioning to an open hand with fingers spread and moving forward, and then returning to a relaxed position","The user performs a waving gesture with the right hand, moving it side to side with fingers extended and palm facing forward","The user performs a waving gesture with an open hand, fingers spread and palm facing forward, followed by a pinching motion with the thumb and index finger coming together"
p_001,"The user raises their right hand with fingers slightly curved, moves it toward the right side of their head, touches the side of their head with the palm, holds the position briefly, and then lowers the hand back","The user performs a sequence of gestures: first, the right hand moves to touch the side of the face with fingers extended and relaxed; then, the hand moves away from the face, transitions to an upright position with the palm facing outward and fingers extended, followed by pointing upward with the index finger, and finally pointing forward with the index finger","The user performs a gesture where both hands cross at the wrists with fingers extended outward, followed by a return to a resting position",,"The user raises their right hand, extends the index finger while the other fingers remain curled, points upward, then transitions to pointing to the side, and finally lowers the hand back to rest","The user raises their right hand, extends the index finger upward while the other fingers remain curled, moves the hand slightly forward, and then lowers it back to a resting position","The user raises their right hand with fingers spread and palm facing outward, holds it briefly, then lowers it and transitions to pointing with the index finger of the same hand","The user performs a single hand gesture by raising their right hand with fingers extended and palm facing outward, followed by a slight waving motion"
p_002,"The user raises their right hand, extends the index finger while the other fingers remain curled, moves the hand to touch the side of their face near the temple, then moves the hand away and points upward with the index finger","The user performs a sequence of gestures involving raising the right hand with an extended index finger pointing upward, briefly touching the side of the face near the eye, followed by a repetitive up-and-down motion of the right hand with a closed fist","The user first raises their right hand with the index finger extended and touches the side of their head near the temple, then transitions to extending the index and middle fingers in a ""V"" shape, and finally moves both hands outward with palms facing up in a spreading motion","The user first raises their right hand with a closed fist and the index finger extended, pointing upward near their face, then transitions to lowering the hand slightly while maintaining the same gesture","The user performs a sequence of gestures involving a raised hand with two extended fingers in a ""V"" shape near the face, a hand covering the lower face, a two-handed crossing motion, a clapping or rubbing motion with both hands, and a final outward spreading of both hands with palms facing up","The user performs a sequence of gestures: first, a hand with fingers extended moves near the face, followed by a pinching motion with the thumb and index finger near the mouth, then transitions to a thumbs-up gesture","The user raises their right hand with the index finger extended upward while the other fingers are curled, then transitions to extending both the index and middle fingers upward in a ""V"" shape","The user performs a gesture involving both hands moving outward and upward in a sweeping motion, with palms facing down, before returning to a resting position"
p_003,"The user raises their right hand to touch their chin with the fingers curled, then moves the hand slightly away from the chin in a small circular motion before returning it to a resting position","The user raises their right hand to their face, with a closed fist and the knuckles resting near the mouth, then lowers it back to a resting position","The user raises their right hand, places the index finger vertically in front of their lips, and then lowers the hand back to the initial position","The user performs a sequence of gestures involving the right hand resting on the head, the left hand moving upward with fingers spread, forming a ""thumbs-up"" gesture, and alternating between spreading fingers and returning to a thumbs-up pose, with occasional hand movements near the face","The user performs a gesture where the right hand moves from a resting position on the table to a raised position with the palm facing outward, fingers extended, and then returns to the table","The user performs a repeated waving motion with the right hand, palm facing outward, while the left hand remains in contact with the side of the head","The user performs a gesture where the right hand moves upward with the index finger extended, pauses in an upright position, and then returns to a resting position","The user performs a sequence of gestures involving one hand moving in a repeated vertical waving motion near the face, with fingers extended and palm facing outward, while the other hand remains stationary and crossed"
p_004,"The user performs a sequence of gestures involving raising the right hand to touch the side of the head with fingers, transitioning to a raised open hand with fingers spread, and then forming a pinching motion with the thumb and index finger before lowering the hand","The user performs a sequence of gestures involving the right hand moving upward with fingers extended and slightly curved, transitioning to a horizontal waving motion near the face, followed by a return to a resting position","The user raises their right hand, transitions into a partially open hand with fingers spread, moves to a pinching gesture with the thumb and index finger, alternates between a pinching and open hand gesture, and then lowers the hand back to the resting position","The user performs a sequence of gestures involving raising the right hand with fingers extended and palm facing forward, transitioning to a pinching motion with the thumb and index finger, and then returning the hand to a resting position","The user performs a sequence of gestures involving raising the right hand to touch the face, moving it upward and outward, followed by a downward sweeping motion with the palm facing outward","The user performs a sequence of gestures involving a right-hand wave with fingers extended and palm facing outward, transitioning into a vertical hand movement, followed by a return to a resting position","The user raises their right hand, extends the index finger upward while the other fingers remain curled, holds the position briefly, and then lowers the hand back to a resting position","The user performs a sequence of gestures involving raising one hand to the face with fingers extended and moving, crossing both hands in front of the face, forming a fist with one hand raised, and pointing with an index finger, followed by returning to a resting position"
p_005,"The user performs a single hand gesture with the right hand, involving an upward and outward flicking motion with the palm facing up and fingers extended, followed by a return to a resting position","The user performs a sequence of gestures starting with raising the right hand vertically with fingers extended and palm facing outward, followed by a downward waving motion of the same hand","The user performs a single-handed gesture with the right hand, palm open and facing left, moving back and forth in a horizontal motion","The user performs a sequence of gestures involving the right hand moving in a circular motion near the face, transitioning to a horizontal sweeping motion to the left, and returning to a resting position","The user performs a sequence of gestures involving a rapid waving motion with the right hand, transitioning into an open palm facing forward, followed by a closing motion of the fingers into a fist, and ending with both hands returning to a resting position","The user performs a sequence of gestures starting with a rapid forward motion of the right hand in a fist, transitioning into an open palm facing outward, and ending with the hand held upright in a stationary position","The user performs a sequence of gestures involving the right hand moving upward with the index finger extended and pointing vertically, followed by dynamic movements of the left hand while the right hand maintains the pointing gesture, and concludes with both hands returning to a resting position","The user performs a sequence of gestures involving the right hand moving in a repeated upward and downward waving motion, transitioning to a horizontal flat hand gesture above the left hand, and concluding with a fist-like motion directed forward"
p_006,"The user raises their right hand, extends the index finger upward while the other fingers remain curled, and performs a small circular motion with the extended finger","The user performs a repeated upward and downward motion with a closed fist, followed by a pointing gesture with the index finger extended and directed forward","The user performs a sequence of gestures involving both hands moving forward with fingers extended and palms facing downward, followed by one hand raised near the head with a sweeping motion, and concludes with both hands overlapping and moving downward","The user performs a sequence of gestures involving the right hand moving in a rapid waving motion with fingers extended and palm facing outward, followed by both hands coming together with interlaced fingers in front of the body","The user raises their right hand with fingers extended and palm facing forward, then moves the hand downward and back to a resting position","The user performs a waving gesture with an open hand, moving side to side in front of their face","The user performs a single hand gesture involving an upward waving motion with the right hand, fingers extended and slightly spread, followed by a downward return","The user performs a waving gesture with the right hand, moving it side to side with fingers extended and palm facing outward"
p_007,"The user performs a sequence of gestures starting with pointing forward using the index finger of the right hand, transitioning to touching the right side of the head with the same index finger, then raising the index finger upward, and finally lowering the hand","The user raises their right hand with fingers spread, moves it near the face in a slight waving motion, and then lowers it back down","The user raises their right hand to cover their face with an open palm, then lowers it and transitions to a gesture where the hand is clenched into a fist near the chest",,"The user initially touches the side of their head with their right hand, transitions to raising the index finger vertically, and then points forward with the index finger before lowering the hand","The user performs a sequence of gestures starting with a closed hand moving upward, transitioning to an index finger pointing upward, followed by a hand opening with fingers spread and held near the face, and then returning to a neutral position","The user raises their right hand with the index finger extended upward while the other fingers are curled, holds the position briefly, and then lowers the hand","The user performs a double thumbs-up gesture with both hands, raising the thumbs upward while keeping the other fingers curled, and maintains this pose with slight adjustments before returning to a resting position"
p_008,"The user performs a sequence of gestures involving the right hand moving in a circular motion above the left hand, transitioning to an upward and downward waving motion with the right hand, and then returning both hands to a resting position","The user performs a sequence of gestures involving the right hand moving upward with a loose open palm, transitioning to a raised position with a curved palm facing downward, followed by a repetitive downward motion, and then returning to a resting position","The user performs a sequence of gestures involving a rapid tapping motion with the right hand on a surface, followed by bringing the right hand to the face with fingers curled near the mouth, transitioning into an ""OK"" hand sign with the right hand, and concluding with a tapping motion on the surface again","The user performs a sequence of gestures involving the right hand moving upward to touch the side of the face near the ear, followed by a downward motion, and then a repetitive tapping or brushing motion on the chest with the right hand","The user performs a sequence of gestures involving a rapid vertical waving motion with the right hand, followed by an open palm held upright facing forward, and concludes with a tapping motion using a closed fist","The user performs a sequence of gestures involving the right hand moving forward with a closed fist, transitioning to an extended index finger pointing directly at the camera, and then retracting back to a resting position","The user performs a sequence of gestures involving a rapid waving motion with the right hand, palm facing outward, followed by a tapping motion with the right hand on the left hand","The user performs a waving gesture with the right hand, characterized by an open palm facing outward and side-to-side motion, followed by a tapping motion with the right hand on the table"
p_009,"The user performs a sequence of gestures involving the right hand moving forward with fingers spread, transitioning to a pinching motion with the thumb and index finger, and then returning to a relaxed position","The user performs a single hand gesture by extending the right hand forward with fingers slightly spread, then gradually retracts the hand back to the initial position","The user performs a sequence of gestures starting with an open hand moving forward with fingers spread, transitioning to a thumbs-up gesture, then forming a fist with the thumb on top, and finally moving the fist downward in a tapping motion on the table","The user performs a sequence of gestures involving a closed fist moving up and down, an open hand with fingers spread facing forward, and a thumbs-up gesture, followed by returning to a resting position","The user performs a sequence of gestures: first, raising the right hand with fingers extended and palm facing forward in a vertical motion; then lowering the hand horizontally with the palm facing downward; and finally, making a downward tapping motion with a closed fist","The user performs a sequence of gestures starting with the right hand extending forward with an open palm facing upward, transitioning to a hand rotation with the palm facing the face, followed by a closed fist raised near the face, and ending with the hands returning to a resting position","The user raises their right hand with fingers extended and palm facing forward, holds it steady, then lowers it and transitions to a fist with a slight forward motion","The user performs a sequence of gestures starting with an open hand facing forward with fingers spread, transitioning to a pointing gesture with the index finger extended and the hand moving slightly forward, and ending with a downward tapping motion using the same hand"
