id_video,c1_description,c2_description,c3_description,c4_description,c5_description,c6_description,c7_description,c8_description
p_000,"The user initially performed no gestures, then transitioned into a sequence resembling a ""pinching"" motion with the thumb and index finger moving closer together, followed by a gradual opening of the hand with fingers spreading apart, and finally returned to no gestures","The user initially performs a right-hand gesture characterized by a gradual transition from a partially open hand to a closed fist-like pose, followed by a left-hand gesture involving a relaxed open hand with fingers slightly curled, and no gestures are performed in the remaining frames","The user performed a pinching gesture with the right hand, followed by a pointing gesture with the right hand, and then transitioned into a grasping gesture with the right hand, while the left hand briefly mirrored a pinching gesture","The user performed a sequence of gestures starting with a gradual closing of the fingers into a fist-like pose, followed by a transition to a pointing gesture with the index finger extended, and finally transitioning to a relaxed open hand with slightly curved fingers","The user performs a pinching gesture with the right hand, transitioning into a closed fist gesture, followed by a return to a resting position","The user performs a gesture where the right hand transitions from a relaxed open hand to a closed fist-like pose with fingers curling inward, then returns to a resting position","The user performs a gesture where the right hand transitions from an open palm with slightly bent fingers to a gradual curling of the fingers into a loose fist, followed by a return to a resting position","The user performs a right-hand gesture resembling a closed fist transitioning into a pointing or extended index finger gesture, followed by a left-hand gesture resembling a relaxed open hand, with no gestures in the remaining frames"
p_001,"The user transitions from a neutral hand pose to a gradual curling of the fingers into a loose fist, followed by a progressive straightening of the fingers back to a neutral pose","The user performs a sequence of gestures involving a pinching motion with the right hand, transitioning into a closed fist-like pose, followed by a relaxed open hand, and finally a left-hand appearance with a slightly curved open pose","The user performs a pinching gesture with the right hand, followed by a left-hand pointing gesture, transitions to a right-hand open palm gesture, and concludes with a right-hand fist gesture",,"The user performs a pinching gesture with the left hand in Image 3, transitions to a slightly open hand with fingers extended in Image 5, and then performs a closed fist gesture in Images 11 and 12","The user transitions from no gesture to a right-hand pose with fingers extended and slightly curled inward, then moves to a right-hand pose with fingers more flexed and pointing downward, and finally transitions back to no gesture","The user transitions from a right-hand gesture with fingers slightly curled and moving downward to a left-hand gesture with fingers extended and pointing upward, followed by no gesture","The user performs a pinching gesture with the right hand, transitions into a closed fist, and then raises the hand with fingers slightly spread before returning to a resting position"
p_002,,"The user performs a gesture with the right hand involving a closed fist with slightly curled fingers in Image 8, transitions to a pointing-like gesture with the right hand in Image 10, and then switches to a similar pointing-like gesture with the left hand in Image 11","The user briefly performs a gesture with the right hand where the fingers are slightly curled inward, and the hand is oriented with the palm facing downward, before returning to no gesture","The user briefly performs a left-hand open palm gesture in Image 3, a simultaneous right-hand open palm and left-hand open palm gesture in Image 14, and a right-hand open palm gesture in Image 16, with no other gestures in the sequence","The user briefly performs a gesture with the right hand where the fingers are slightly curled inward, and the hand is oriented downward, before returning to no gesture",,"The user performs a pinching gesture with the right hand, transitions to a relaxed open hand with slight finger curling, and then returns to a resting position",
p_003,"The user performs a sequence of gestures: a right-hand open palm transitions to a left-hand open palm, followed by a right-hand closed fist, then a right-hand pointing gesture with the index finger extended, and finally a right-hand open palm with fingers spread, moving upward","The user performs a left-hand open relaxed pose in the first frame, followed by a right-hand closed fist gesture transitioning into a gradual opening of the fingers, and then a relaxed open hand gesture before returning to no gesture","The user performs a pinching gesture with the right hand, transitions to a pointing gesture with the index finger extended, and then relaxes the hand","The user performs a sequence of gestures involving a left-hand open palm with fingers spread, transitioning to a right-hand open palm with fingers spread, followed by a right-hand closed fist, and ending with a right-hand pointing gesture","The user performs a sequence of gestures involving a right-hand open palm transitioning to a left-hand open palm, followed by a right-hand downward-pointing gesture, a right-hand upward-pointing gesture, and finally a right-hand open palm","The user performs a right-hand closed fist gesture, transitions to a left-hand open palm gesture, then switches to a right-hand pointing gesture, and finally transitions to a right-hand relaxed open hand gesture","The user performs a sequence of gestures: a right-hand open palm transitioning to a closed fist, followed by a right-hand pointing gesture, and finally, simultaneous open palm gestures with both hands","The user performs a sequence of gestures involving a right-hand open relaxed pose, a left-hand open pose with fingers slightly curled, a right-hand pointing gesture, a left-hand open pose with fingers extended, a right-hand open pose with fingers slightly curled, and a left-hand open pose with fingers extended, followed by a right-hand open pose with fingers slightly curled"
p_004,"The user transitions from a neutral hand pose to a sequence of gestures, including a gradual upward movement of the hand with fingers progressively curling into a fist, followed by a return to a neutral resting position","The user transitions from a neutral hand pose to a sequence of gestures characterized by gradual finger flexion and extension, with the hand moving through various orientations and positions, including a progression from open hand to partial fist and back to open hand, before returning to a neutral state","The user transitions from a closed fist to an open hand with fingers spread, followed by a gradual curling of the fingers into a fist again","The user transitions from no gesture to a gradual upward movement of the hand with fingers progressively curling inward, forming a loose fist, and then returns to no gesture","The user performs a sequence of gestures starting with a closed hand transitioning into a pointing gesture, followed by a gradual hand opening with fingers spreading, and finally returning to a relaxed open hand","The user transitions from no gesture to a sequence of gestures, including a closed fist, a pointing gesture with the index finger extended, a gradual opening of the hand with fingers spreading, and finally a relaxed open hand with fingers slightly curled","The user transitions from a closed fist to an open hand with fingers spread, followed by a gradual curling of the fingers into a fist, and then back to an open hand before ending with a closed fist","The user performs a sequence of gestures starting with a right-hand open palm transitioning into a pinching motion, followed by a left-hand open palm, then a left-hand pinching motion, and finally a right-hand open palm that gradually transitions into a fist"
p_005,"The user performs a sequence of gestures: a left-hand open palm with fingers slightly spread, transitioning to a right-hand closed fist, followed by a left-hand pointing gesture, and finally a right-hand open palm with fingers slightly curled","The user transitions from a neutral hand pose to a sequence of gestures, including a right-hand open palm with fingers spread, a left-hand open palm with fingers spread, a right-hand closed fist, and a left-hand closed fist, followed by a right-hand pointing gesture and a left-hand pointing gesture","The user performs a sequence of gestures involving a left-hand static pose with fingers slightly bent and spread, transitioning to a right-hand dynamic gesture with fingers flexing and extending, while the left hand maintains a consistent pose","The user performs a left-hand ""thumbs up"" gesture, transitions to a left-hand ""fist"" gesture, then alternates between a right-hand ""pointing"" gesture and a left-hand ""open palm"" gesture, followed by a right-hand ""thumbs up"" gesture","The user performs a sequence of gestures including a right-hand open palm, a left-hand open palm, a right-hand pointing gesture, a right-hand closed fist, and a left-hand open palm gesture, with transitions between gestures and periods of no gesture in between","The sequence depicts a progression of gestures involving the left hand transitioning from a relaxed pose to a series of pinching and pointing-like movements, while the right hand alternates between relaxed and slightly flexed poses, with occasional pinching-like configurations, and both hands exhibit synchronized dynamic changes in orientation and finger articulation","The user performs a sequence of gestures involving a left-hand open palm with fingers spread, transitioning to a right-hand open palm with fingers spread, followed by a right-hand closed fist, and ending with a left-hand open palm with fingers spread","The user performs a left-hand gesture resembling a ""thumbs up"" in the initial frames, transitions into a left-hand gesture with fingers extended and slightly spread, and then concludes with a right-hand gesture resembling a ""pointing"" motion before returning to no gesture"
p_006,"The user performs a gesture characterized by a gradual transition from an open hand with extended fingers to a partially closed hand with bent fingers, followed by a return to a more relaxed open hand before no gesture is detected","The user performs a sequence of gestures starting with a partially open hand with fingers slightly bent, transitioning to a fully open hand with fingers spread wide, then moving to a closed fist, and finally returning to a partially open hand before no gestures are performed","The user performs a brief right-hand gesture resembling a ""pinching"" motion in Image 2, transitions to a right-hand gesture with fingers extended and slightly curled in Images 4 through 8, and concludes with a left-hand gesture with fingers extended and slightly spread in Images 10 through 12","The user performs a right-hand open palm gesture transitioning into a left-hand open palm gesture, followed by a left-hand pointing gesture, and concludes with no gesture","The user briefly performs a right-hand gesture with fingers extended and slightly curved, transitioning from a downward orientation to a more upward orientation, before returning to no gesture","The user performs a pinching gesture with the right hand in frames 4 and 5, transitions to an open hand with fingers spread in frame 8, and then transitions to a relaxed hand with slightly curled fingers in frame 12","The user performs a gesture where the right hand transitions from a partially open hand with fingers slightly bent to a gradual closing motion, culminating in a fist-like pose, before returning to no gesture","The user performs a gesture with a partially open hand in Image 4 and Image 5, transitions to a pointing-like gesture with the index finger extended in Images 8 through 11, and then transitions to a raised hand with fingers slightly spread in Images 12 and 13"
p_007,"The user performs a pinching gesture with the right hand, transitions to a pointing gesture, and concludes with a closed fist gesture","The user performs a gradual closing of the fingers into a loose fist-like pose, followed by a gradual reopening of the fingers","The user performs a sequence of gestures: a pinching motion with the right hand, transitioning into a pointing gesture with the index finger extended, followed by a resting phase, and finally a grasping motion with the right hand",,"The user performs a sequence of gestures including a pinching motion with the thumb and index finger, a series of open hand poses with varying finger flexion and extension, and a final gesture involving a closed hand with fingers curled inward","The user performs a gesture where the right hand transitions from a partially open hand with fingers slightly curled inward to a more relaxed and slightly closed hand, with minimal movement in orientation and direction, before returning to no gesture","The user performed a gesture with the right hand involving a gradual transition from an open hand with extended fingers to a slightly curled finger position, followed by a return to a more relaxed open hand, and finally switched to a left-hand gesture with fingers extended and slightly spread before ending with no gesture","The user transitions from a neutral state to performing a sequence of gestures involving both hands, including a gradual opening and closing of fingers, with the left hand showing a progressive upward movement and the right hand displaying a series of flexion and extension motions, before returning to a neutral state"
p_008,"The user performs a single gesture characterized by a right-hand open palm with fingers slightly bent in Image 5, followed by a sequence of pinching or gripping-like motions with both hands in Images 10-12, transitioning to a right-hand pointing or pinching gesture with extended index finger in Images 25-31","The user transitions from no gesture to a gradual upward movement of the right hand with fingers slightly bent, followed by a progressive opening of the hand with fingers spreading apart, and then returns to no gesture","The user performs no gesture initially, then transitions to a right-hand open palm gesture with fingers spread, followed by a left-hand open palm gesture with fingers spread, then a right-hand closed fist gesture, transitioning into a right-hand pointing gesture with the index finger extended, and finally returns to no gesture","The user initially performed no gesture, then transitioned to a pinching motion with the thumb and index finger, followed by a gradual opening of the hand into a relaxed spread-finger position, and finally returned to no gesture","The user performs no gesture initially, then transitions into a gradual downward curling of the fingers into a fist-like pose, and finally returns to no gesture before briefly forming a loose open hand with slightly curled fingers","The user performs a sequence of gestures, including a static open hand with fingers slightly bent, a pinching motion transitioning into a closed fist, a pointing gesture with the index finger extended, and a relaxed open hand with minimal movement","The user performs a pinching gesture with the right hand in Image 2, a pointing gesture with the right hand in Images 8-16, a relaxed open hand gesture with the right hand in Images 18-22, a relaxed open hand gesture with the left hand in Image 23, and a cupped hand gesture with the right hand in Images 27-29","The user performs a pinching gesture with the right hand in Image 6, transitions to a pointing gesture in Images 12–16, moves to a relaxed open hand gesture in Images 17–29, and finally performs a downward-facing open hand gesture in Images 37–40"
p_009,"The user transitions through a sequence of gestures, including a closed fist, a partially open hand with fingers slightly curled, and a fully open hand with fingers spread, followed by a return to a resting position","The user performs a pinching gesture with the right hand, transitions to a static open hand gesture with the left hand, and concludes with a pinching gesture with the right hand again","The user performed a sequence of gestures involving a left-hand open palm with fingers slightly spread, transitioning to a right-hand open palm with fingers slightly spread, followed by a simultaneous gesture of both hands in open palm positions with fingers slightly spread, and then returned to no gesture","The user initially performs no gesture, then transitions to a right-hand gesture with fingers extended and pointing downward while the left hand remains relaxed, followed by a combined gesture where the right hand's fingers curl inward and the left hand's fingers extend slightly, and finally returns to no gesture","The user performs a brief left-hand ""fingers spread"" gesture in Image 2, transitions to a left-hand ""pinching"" gesture in Images 4-10, and incorporates a simultaneous right-hand ""fingers spread"" gesture in Images 5-9","The user performs a sequence of gestures including a right-hand open palm with fingers slightly curled, transitioning to a left-hand open palm with fingers extended and minor curling, followed by a left-hand open palm with fingers slightly curled, and finally a right-hand open palm with fingers slightly curled","The user transitions from a resting position to a gradual closing of the fingers into a fist-like gesture, followed by a return to a resting position","The user performs a right-hand gesture resembling a gradual transition from an open hand to a slightly curled finger pose, followed by a left-hand gesture maintaining a consistent open hand with slight finger curvature, and then returns to no gesture"
