id_video,c1_description,c2_description,c3_description,c4_description,c5_description,c6_description,c7_description,c8_description
p_000,"The user performed a sequence of gestures transitioning from a ""thumb and fingers forming a pinching pose with the little finger extended"" to a ""thumb straight with bent middle, ring, and little fingers, and straight index finger,"" followed by a return to a resting position","The user performs a sequence of gestures: a ""claw-like"" pose with bent fingers (Image 9), transitions to a fully extended hand (Images 11-12), then gradually bends the ring and little fingers while maintaining straight others (Images 13-16), returns to a fully extended hand (Image 17), transitions to a fist (Image 18), and finally performs a left-hand gesture with a bent thumb and straight fingers (Images 20 and 22)","The user performed a sequence of gestures starting with an open right hand with all fingers straight and the thumb making contact with the index and middle fingers, followed by a right-hand gesture with the thumb straight, the index finger bent, and the other fingers straight, then transitioned to a left-hand gesture with all fingers straight and the thumb making contact with the index finger, and finally concluded with a right-hand gesture where all fingers were straight, the thumb was straight, and the fingers were close together except for the little finger, which was apart","The user performed a sequence of gestures: an open hand with fingers straight and close together, transitioning to a thumbs-up gesture with the thumb bent briefly, followed by a gesture where the thumb made contact with the bent index finger, and finally returning to an open hand with fingers straight and close together","The user first performs a gesture with all fingers straight and the palm outward, with the thumb pointing left and fingers close together except for the ring and little fingers, followed by a gesture where the thumb remains straight, the index and middle fingers are bent, the ring and little fingers are straight, and the thumb makes contact with the bent fingers while the palm remains outward","The user transitions from a pinching gesture with the thumb in contact with bent index, middle, and ring fingers (Image 4) to an open hand with all fingers straight and close together except for the little finger (Images 5-6), followed by no discernible gesture (Images 7-11)","The user transitions from a ""thumb bent with all other fingers straight and close together"" gesture in Image 3 to a ""thumb straight with all fingers straight and close together"" gesture from Image 4 to Image 9, with the palm consistently oriented outward and the thumb pointing upward","The user performs a right-hand open palm gesture with all fingers straight and apart, transitions to a right-hand gesture with the thumb bent and other fingers straight, and then switches to a left-hand gesture with all fingers straight and the thumb in contact with the index, middle, and ring fingers"
p_001,"The user transitions from a straight-finger pose with the thumb contacting the little finger, to a bent-thumb pose with straight fingers, and finally to a bent-finger pose with the thumb contacting the other fingers","The user performs a sequence of gestures, starting with a closed fist (Image 2), transitioning to an open hand with straight fingers and thumb bent (Images 3-4), followed by a brief resting position (Image 5), then a straight hand with fingers apart (Image 12-13), a bent middle, ring, and little finger with thumb straight (Images 14-16), a left-hand gesture with bent middle, ring, and little fingers (Image 19), and ending with a similar right-hand gesture (Image 21)","The user performed a sequence of gestures: a right-hand closed fist with thumb contacting all fingers (Image 2), a left-hand ""thumbs up"" with the thumb bent and little finger contacting the thumb (Images 4-5), a right-hand open palm with fingers close together (Image 6), a left-hand ""thumbs up"" with straight fingers and little finger contacting the thumb (Image 7), a right-hand open palm with thumb contacting some fingers (Image 8), a combined gesture of a right-hand ""OK"" sign and a left-hand ""claw"" (Image 10), a right-hand ""OK"" sign (Image 11), a right-hand open palm with fingers close together (Image 13), and no gestures in the remaining frames",,"The user performs a gesture with the left hand where the thumb, index, and middle fingers are straight while the ring and little fingers are bent, with the thumb in contact with the index finger and the palm facing outward (Image 3), transitions to a gesture where all fingers except the thumb are bent, with the thumb in contact with the index and middle fingers and the palm still outward (Image 5), then shifts to a gesture where the thumb and index finger are straight, the middle, ring, and little fingers are bent, with the thumb in contact with the middle finger and the palm facing inward (Image 12)","The user transitions from no gesture to forming a ""thumb up with bent middle, ring, and little fingers"" gesture with the right hand, then extends all fingers straight with the thumb pointing up and palm facing left, and finally transitions to a ""thumb left with bent middle and ring fingers, straight index and little fingers"" gesture before returning to no gesture","The user transitions from a right-hand gesture with all fingers straight, thumb pointing up, and fingers close together, to a left-hand gesture with the thumb straight, other fingers bent, and fingers apart","The user performs a ""thumbs up"" gesture with the right hand (Images 5-6), transitions to an open hand with all fingers straight and apart (Image 7), briefly returns to a straight-fingered hand with fingers close (Image 9), and ends with an open hand gesture with fingers straight and apart, thumb pointing backward (Image 14)"
p_002,,"The user performs a right-hand flat palm gesture with fingers straight and spread, transitions to a right-hand gesture with a bent thumb and ring/little fingers while the index and middle fingers remain straight and in contact with the thumb, and finally transitions to a left-hand gesture with a straight thumb and index finger, bent middle, ring, and little fingers, with partial thumb contact","The user briefly performed a gesture with the right hand where the thumb was straight and pointing upward, making contact with the bent index and middle fingers while the palm faced outward, before returning to a neutral position","The user performs a left-hand gesture with a straight thumb and bent other fingers, with the thumb contacting the middle, ring, and little fingers (Image 3), followed by a two-hand gesture where the right hand has a bent thumb and straight index finger, while the left hand has all fingers straight (Image 14), and concludes with a right-hand gesture with a straight thumb and index finger and bent other fingers, with the thumb contacting the middle and little fingers (Image 16)","The user briefly performed a gesture with the right hand where all fingers were straight, the thumb pointed left, the palm faced inward, and the thumb made contact with the ring and little fingers, before returning to no gesture",,"The user performs a gesture characterized by a bent thumb, straight index finger, and bent middle, ring, and little fingers, with the thumb making contact with the middle finger and occasionally the little finger, while the palm alternates between outward and left orientations, before returning to no gesture",
p_003,"The user performs a pinching gesture with the right hand in Image 1, a straightened left-hand gesture with the thumb and most fingers extended in Image 2, transitions to a closed fist with the right hand in Images 3 and 4, shifts to a partially open right hand with the thumb and index finger extended in Image 5, pauses with no gestures in Images 6 and 7, and concludes with a right-hand gesture where all fingers are straightened in Images 8 and 9","The user performed a left-hand ""OK"" gesture in Image 1, transitioned to a right-hand ""thumbs-up"" gesture in Image 5, followed by a right-hand ""closed fist"" gesture in Image 11, and concluded with a right-hand ""open palm"" gesture in Image 16","The user transitions from a closed fist gesture with the thumb touching all fingers (Image 3) to a gesture with the thumb and index finger straight while the other fingers are bent and separated, with the thumb contacting the middle finger (Images 4, 6, 7, and 10), briefly performing a fully bent hand with thumb contact on some fingers (Image 8) and a bent thumb with a straight index finger (Image 9)","The user performs a sequence of gestures involving a pinching motion with both hands, a left-hand gesture with straightened thumb and index finger while other fingers are bent, a right-hand gesture with all fingers straightened, a right-hand gesture with a bent thumb and little finger, a brief pause, a right-hand gesture with bent index and middle fingers while the thumb is straight, and finally a right-hand gesture with all fingers straightened","The user performs a sequence of gestures involving a fully extended hand with fingers close together and thumb in contact with all fingers, transitioning to a bent-finger pose with the thumb contacting the little finger, followed by a left-hand bent-finger pose, then alternating between fully extended fingers with varying proximities and thumb contact, and finally returning to a fully extended hand with inward palm orientation and thumb-index contact","The user performs a ""thumbs up"" gesture with the right hand, transitions to a ""thumb and bent fingers"" gesture with the left hand, switches to a ""fist with thumb extended"" gesture with the right hand, then alternates between a ""thumbs up"" and ""thumb bent with straight fingers"" gesture with the right hand, and finally returns to a ""thumb and bent fingers"" gesture with the left hand","The user performs a sequence of gestures: a ""pinching"" motion with the right hand (thumb contacting index and middle fingers) transitioning to a ""fingers bent"" gesture (middle, ring, and little fingers bent with thumb contacting middle and ring fingers), followed by a brief resting phase, and concludes with both hands in a ""straight fingers"" gesture (thumb contacting index and middle fingers)","The user performs a sequence of gestures involving a right-hand ""OK"" gesture (Image 1), a left-hand ""OK"" gesture (Image 6), a right-hand closed-fingers upward pose (Image 7), a left-hand bent-thumb gesture (Image 17), a right-hand downward pose with straight fingers (Image 18), a right-hand bent-thumb gesture (Image 22), a simultaneous left-hand ""OK"" and right-hand downward pose (Image 26), a right-hand bent-thumb gesture (Image 30), a simultaneous left-hand ""OK"" and right-hand inward pose (Image 33), a right-hand bent-thumb gesture (Image 37), a right-hand outward pose with straight fingers (Image 42), a simultaneous left-hand ""OK"" and right-hand inward pose (Image 43), and a simultaneous left-hand ""OK"" and right-hand inward pose with thumb contact (Image 45)"
p_004,"The user performed a sequence of gestures including a pinching motion with the thumb and all fingers, transitioning to a ""thumbs up"" gesture, followed by a series of bent finger configurations with varying proximities and thumb contacts, and ending with a fully open hand before returning to a resting position","The user transitions through a sequence of gestures, including a pinching motion with the thumb and index finger while other fingers remain straight, a straightened hand with fingers close together, a bent ring and little finger with thumb contact, and a final return to a straightened hand with fingers close together, before ending with no gesture","The user transitions through a sequence of gestures: starting with no gesture, then forming a pinching gesture with the thumb and index finger while other fingers are straight, followed by a straightened hand with fingers apart, then a hand with all fingers bent and thumb in contact with other fingers, transitioning to a hand with the thumb straight and other fingers bent, and finally returning to a straightened hand with fingers close together","The user performed a sequence of gestures including a ""pinching"" motion with the thumb and index finger while other fingers were straight, transitioning to a ""claw-like"" pose with all fingers bent, followed by a ""fist-like"" gesture with all fingers bent and thumb in contact with them, and ending with a fully open hand with all fingers straight","The user performed a sequence of gestures including a ""pinching motion with the thumb and index finger while other fingers are straight,"" transitioning to ""all fingers bent with thumb making contact with the index and middle fingers,"" followed by ""a straightened hand with fingers apart,"" and ending with ""a straightened hand with fingers close together.""","The user performed a sequence of gestures including an open hand with fingers spread apart, transitioning to a closed fist, followed by a thumbs-up gesture, and ending with a hand pose where the thumb made contact with the index and middle fingers","The user performed a sequence of gestures starting with a pinching motion involving the thumb and index finger while other fingers were bent, transitioning to a pose with the thumb and index finger straight and the other fingers bent, followed by a gesture with all fingers straight except the ring finger bent, and ending with a straightened thumb and index finger while the middle finger was bent, before returning to no gesture","The user performed a sequence of gestures including a ""pinching"" motion with the right hand, a ""pinching"" motion with both hands, a ""thumbs-up"" gesture with the left hand, a ""claw-like"" gesture with the left hand, a ""fist"" gesture with the right hand, and a ""bent-finger"" gesture with the right hand, followed by a ""relaxed hand"" gesture with no specific pose"
p_005,"The user performs a sequence of gestures: a ""thumbs up"" with the left hand, a ""thumbs down"" with the right hand, a ""pointing"" gesture with the right hand, a ""stop"" gesture with the left hand, a ""thumbs down"" with the right hand, and a ""pinching"" gesture with the left hand","The user performed a sequence of gestures involving both hands, including a left-hand ""OK"" gesture transitioning to straight fingers, a right-hand ""thumbs up"" gesture, a left-hand ""thumbs up"" gesture, a right-hand ""fist"" gesture, and a right-hand ""straight fingers with inward palm"" gesture","The user alternates between extending all fingers of one or both hands, bringing the index and middle fingers of one or both hands close together, and bending the middle, ring, and little fingers of the right hand while keeping the thumb and index finger straight","The user performs a sequence of gestures including a left-hand ""rock"" gesture with the ring finger bent (Image 2), a left-hand ""open palm"" gesture with all fingers straight and close together (Image 5), simultaneous ""open palm"" gestures with both hands in different orientations (Images 8-9), a right-hand ""claw"" gesture with bent middle, ring, and little fingers (Image 10), alternating ""open palm"" gestures between hands (Images 11-16), a right-hand ""pinch"" gesture with thumb contacting index and middle fingers (Image 17), and concludes with a right-hand ""open palm"" gesture (Image 20)","The user performed a sequence of gestures involving an open right hand with all fingers straight and apart, transitioning to a left hand with all fingers straight and varying proximities, followed by a right hand with bent thumb and straight fingers, then a right hand with bent fingers and thumb contacting the index finger, and finally a right hand with straight fingers close together","The user performed a sequence of gestures involving a left-hand pinch with the thumb and index finger, a right-hand open palm, a left-hand open palm, a right-hand bent thumb with straight fingers, a left-hand bent index and middle fingers, and a final gesture with both hands open and straight fingers","The user performed a sequence of gestures involving both hands, including straight fingers with varying proximities, bent fingers with thumb contact on specific fingers, and transitions between inward and outward palm orientations, with notable changes in thumb direction and finger flexion across the sequence","The user performed a sequence of gestures starting with a left-hand pose where all fingers were straight, the thumb pointed right, and the index and middle fingers were close while others were apart, transitioning to a pose where all fingers were straight, the thumb pointed right, and all fingers were apart, followed by a brief appearance of a right hand with all fingers straight and close together, and ending with a left-hand pose where all fingers were straight, the thumb pointed right, and the index and middle fingers were close while others were apart"
p_006,"The user alternates between a hand gesture with the thumb bent and contacting the middle and ring fingers while the index finger is straight and other fingers are bent, and a similar gesture with the thumb straight, before returning to no gesture","The user transitions through a sequence of gestures: first forming a ""middle finger extended"" pose with the thumb pointing upward and the palm outward, then a ""fully extended fingers"" pose with thumb contact on most fingers and the palm outward, followed by a ""bent middle, ring, and little fingers"" pose with the thumb pointing backward and the palm down, and finally a ""little finger bent"" pose with the thumb pointing upward and the palm outward","The user performs a sequence of gestures: a pinching motion with the right hand (Image 2), a two-handed gesture with the right hand showing a straightened index and middle finger and the left hand in a pinching motion (Image 4), a right-hand gesture with bent fingers except for the middle finger (Image 5-6), a two-handed gesture with the right hand showing a bent index and ring finger and the left hand in a pinching motion (Image 7), a left-hand gesture with all fingers straightened and thumb in contact with the index and middle fingers (Image 10), a left-hand gesture with bent ring and little fingers (Image 11), and a left-hand gesture with all fingers straightened (Image 12)","The user performed a right-hand outward-facing open palm gesture (Image 6), followed by a left-hand downward-facing gesture with bent index and middle fingers (Images 7-8), transitioning to a left-hand downward-facing open palm gesture (Image 9), then a right-hand downward-facing open palm gesture (Image 11), a right-hand downward-facing open palm gesture with a backward thumb (Image 13), and finally a left-hand outward-facing open palm gesture with an upward thumb (Images 14-16)","The user briefly performs a gesture with the right hand where all fingers are straight, the thumb points upward, the palm faces outward, and the fingers transition from being close together to slightly apart before returning to no gesture","The user performs a pinching gesture with the thumb and index finger while other fingers are bent (Image 4), transitions to a gesture with the thumb bent and index finger straight while other fingers alternate between bent and straight (Image 5), and later performs an open hand gesture with all fingers straight and apart (Images 8 and 12)","The user transitions from no gesture to forming a pinching gesture with the thumb in contact with the index and middle fingers while the other fingers are bent, then extends all fingers straight with varying proximities and thumb contact, and finally returns to no gesture","The user performed a ""thumbs-up"" gesture with the left hand, followed by a ""flat hand with fingers together"" gesture, and concluded with a ""thumb bent while other fingers straight"" gesture"
p_007,"The user transitions between no gesture, a ""thumb up with bent middle, ring, and little fingers"" gesture, a ""thumb bent with straight index and bent middle, ring, and little fingers"" gesture, and back to no gesture","The user transitions from no gesture to extending all fingers of the right hand with the thumb pointing left and the palm facing outward, maintaining this pose while the fingers are close together except for the little finger, briefly making contact with the thumb, and then returning to no gesture","The user performed a sequence of gestures: an open hand with all fingers straight and close together, transitioning to a bent thumb while keeping the other fingers straight and close together, returning to an open hand, then repeating the bent thumb gesture, followed by an open hand with thumb-index contact, and finally a gesture with a straight thumb and bent other fingers",,"The user performed a sequence of gestures including a closed fist with thumb contact, a ""thumbs up"" with bent middle, ring, and little fingers, a ""thumbs up"" with all fingers straight, a ""thumbs up"" with bent middle, ring, and little fingers, a ""thumbs up"" with bent index finger, a ""thumbs up"" with bent middle finger, and a bent thumb with bent middle, ring, and little fingers while the index finger remained straight","The user performs a gesture with the right hand where all fingers are straight, the thumb points left, the palm faces outward, and the fingers are spaced with the middle and ring fingers close together, maintaining this pose consistently from Image 6 to Image 10","The user transitions from no gesture to a right-hand pose with a straight thumb and index finger, bent middle, ring, and little fingers, with the thumb contacting the middle and ring fingers while the palm orientation shifts between left and outward, followed by a bent thumb with the same finger configuration and palm orientation left, and finally a left-hand pose with a straight thumb and index finger, bent middle, ring, and little fingers, with the thumb contacting the index and middle fingers and the palm oriented outward","The user initially performed a ""thumbs-up"" gesture with the right hand, transitioned to a ""thumbs-up"" gesture with both hands, and then maintained this gesture with both hands while gradually raising them higher before returning to a resting position"
p_008,"The user performed a pinching gesture with the right hand (thumb straight, other fingers bent) in Image 5, followed by a straightened hand gesture with all fingers extended in Image 10, a left-hand pinching gesture in Image 11, a mixed bent and straight finger gesture in Image 12, a fully bent hand gesture in Image 25, a pinching gesture in Image 26, and a straightened hand gesture with all fingers extended in Images 29-31","The user performed a sequence of gestures starting with an open hand with all fingers straight and the palm facing outward, transitioning to a gesture with the ring and little fingers bent while the other fingers remained straight, followed by a gesture with the middle, ring, and little fingers bent, then a gesture with all fingers bent except the thumb, and finally a fully closed hand with all fingers bent and the thumb pointing upward","The user performed a sequence of gestures including a straight-fingered hand with the thumb contacting the little finger (right hand, then left hand), a straight-fingered hand with the little finger bent (left hand), a straight-fingered hand with the thumb contacting the little finger (right hand), a bent-thumb gesture with straight fingers (right hand), a straight-fingered hand with the thumb contacting the little finger (right hand), a bent-thumb gesture with bent ring and little fingers (right hand), a straight-fingered hand with fingers apart (right hand), a bent-index-finger gesture with thumb contact (right hand), and a bent-thumb gesture with straight fingers (right hand), interspersed with frames of no gesture","The user transitions through a sequence of gestures, starting with no gesture, then forming a pinching gesture with the thumb and index finger while other fingers are bent, followed by a straightened hand with all fingers extended, then a sequence of bent finger configurations with varying proximities and thumb contacts, and finally ending with a fully bent hand gesture before returning to no gesture","The user performs a gesture with all fingers straight and close together, transitioning to a gesture where the thumb bends while the other fingers remain straight and close, then returns to the initial straight-finger gesture, followed by a resting phase, and finally performs a gesture with all fingers straight and spread apart","The user performs a sequence of gestures: a closed fist with the thumb touching the index finger, transitioning to an open hand with all fingers straight and spread apart, followed by a gesture with the thumb straight and the index and middle fingers bent while the other fingers remain straight, then a gesture with the thumb straight and all other fingers bent, and finally an open hand with all fingers straight and close together","The user performed a sequence of gestures including a ""thumb and index finger contact with bent middle, ring, and little fingers"" gesture, a ""thumb bent with straight index, middle, ring, and little fingers"" gesture, a ""fully straight fingers with thumb up and palm outward"" gesture, a ""thumb bent with straight fingers and palm inward"" gesture, a ""fully straight fingers with thumb down and palm inward"" gesture, and a ""thumb straight with bent index, middle, ring, and little fingers"" gesture","The user performs a sequence of gestures including a ""thumbs up"" with fingers straight and close together, transitioning to a ""thumbs left"" with fingers straight and slightly apart, followed by a ""thumbs up"" with a bent thumb and fingers straight, and finally a ""thumbs down"" with fingers straight and close together, interspersed with resting positions"
p_009,"The user performed a sequence of gestures involving a ""pinching"" motion with the thumb and index finger, transitioning to a ""fist"" gesture with all fingers bent, followed by an ""open hand"" gesture with all fingers straight, and repeated variations of these gestures with changes in finger proximity and thumb contact","The user performed a ""pinching"" gesture with the right hand (thumb and index finger in contact, other fingers straight) in Images 2-3, transitioned to a ""fist"" gesture with the left hand (all fingers bent and in contact with the thumb) in Images 5-14, and concluded with a ""pinching"" gesture with the right hand again in Image 15","The user performed a sequence of gestures starting with an open left hand with fingers spread apart, transitioning to a straight right hand with fingers spread apart, followed by a left hand with all fingers bent and in contact with the thumb while the right hand alternated between bent and straight finger configurations, and ending with a left hand maintaining the bent finger pose before returning to no gesture","The user initially performs a right-hand gesture with the thumb straight and other fingers bent, followed by a combined gesture where the right hand is fully extended outward and the left hand is bent inward with thumb-to-finger contact, transitioning to a right-hand gesture with the thumb touching the bent index finger while other fingers remain straight, and finally ends with only the left hand bent inward with thumb-to-finger contact","The user first performs a left-hand gesture with all fingers straight and close together, thumb pointing up, and palm inward, followed by a left-hand gesture with all fingers bent, thumb pointing down, and fingers in contact with the thumb, then transitions to a two-hand gesture where the left hand maintains the bent-finger pose and the right hand has all fingers straight, thumb pointing left, and palm inward, before returning to the left-hand bent-finger gesture","The user performed a sequence of gestures including a right-hand ""open palm with fingers straight and thumb pointing left,"" transitioning to a left-hand ""fist with thumb bent and contacting all fingers,"" followed by a combined gesture of both hands with the left hand in a ""fist with thumb bent and contacting all fingers"" and the right hand in a ""partially open hand with thumb straight and fingers bent,"" and finally a right-hand ""partially open hand with thumb straight and fingers bent.""","The user transitions from an open hand with all fingers straight and spread apart to a closed hand with all fingers bent, passing through an intermediate gesture where the thumb and some fingers make contact while others remain bent","The user performed a sequence of gestures starting with an open right hand with fingers spread outward, transitioning to both hands with distinct poses where the left hand had fingers close together and thumb contacting specific fingers, followed by a right hand with bent fingers and thumb contact while the left hand maintained a straight-finger pose, and ending with the left hand alone in a straight-finger pose with thumb contact before returning to no gesture"
