id_video,c1_form,c1_composition,c1_command,c1_description,c2_form,c2_composition,c2_command,c2_description,c3_form,c3_composition,c3_command,c3_description,c4_form,c4_composition,c4_command,c4_description,c5_form,c5_composition,c5_command,c5_description,c6_form,c6_composition,c6_command,c6_description,c7_form,c7_composition,c7_command,c7_description,c8_form,c8_composition,c8_command,c8_description,gender,country_origin,ocuppation,native_language,second_language,english_proficiency,computer_proficiency,previous_ucp_exp,exp_bitrix24,exp_zoom,exp_skype,exp_livestorm,exp_microsoft_teams,exp_gotomeeting,exp_lucid_meetings,exp_adobe_connect,exp_google_meet,exp_join_me,exp_teamviewer_meeting,exp_discord,previous_hg_exp
P_000,Dynamic,2,Back palm move up + index point up,"One hand, back of the hand facing up, moving upwards, once + one hand, index finger extended, pointing upwards, repeatedly",Dynamic,1,Index point down,"One hand, index finger extended pointing down, stationary",Dynamic,1,Zip mouth to right,"One hand, thumb finger and index finger pinching together, swiping over mouth rightwards, once",Dynamic,1,Zip mouth to left,"One hand, thumb finger and index finger pinching together, swiping over mouth leftwards, once",Dynamic,1,Hand unpinch,"One hand, thumb finger and other fingers tapping together, opening downward",Dynamic,1,Hand release,"One hand, closed palm facing outward, opening fingers outward",Static,1,Raised hand,"One hand, open and raised palm, facing forward, stationary",Dynamic,1,Hand pinch,"One hand, thumb finger and index finger tapping together, closing downward",Male,Denmark,Student,Danish,English,Advanced,Software Developer,4,False,True,True,False,True,False,False,False,True,False,False,True,False
P_001,Static,1,Listen sign,"One hand, curved hand, positioned on the side of the head, behind the ear, stationary",Dynamic,2,Listen sign + index point down,"One hand, curved hand near the ear, stationary + one hand, index finger extended pointing down, moving downwards, repeatedly",Static,1,Cross hands,"Two hands, open palms crossing in front, spreading sideways, once",Unknown,0,Unknown,Unknown,Dynamic,1,Index swipe right,"One hand index pointing outward, swiping rightward",Dynamic,1,Index swipe right,"One hand, index pointing outward, swiping rightward",Static,1,Raised hand,"One hand, open and raised palm, facing forward, stationary",Dynamic,1,Hand wave left-right,"One hand, open palmfacing forward, waving left-right, repeatedly",Female,China,Student,Danish,English,Intermediate,Regular User,4,False,True,True,False,True,False,False,False,True,False,False,True,False
P_002,Dynamic,2,Listen sign + index point up,"One hand, index extended, positioned on the side of the head, pointing to ear, stationary + one hand, index finger extended pointing up, moving uowards, repeatedly",Dynamic,2,Listen sign + index point down,"One hand, index finger extended near the ear, stationary + one hand, index finger extended pointing down, moving downwards, repeatedly",Dynamic,2,Listen sign + spread hands,"One hand, index finger extended near the ear, stationary + one hand, hands stacked in front, spreading apart sideways, once",Static,2,Listen sign + index point up,"One hand, index finger extended near the ear, stationary + index finger extended, pointing up, repeatedly",Dynamic,2,Eye point + spread hands,"One hand, index and middle fingers pointing at the eyes, stationary + two hands, hands stacked together in front, spreading outwards",Static,2,Eye point + thumbs up,"One hand, index and middle fingers pointing at the eyes, stationary + one hand, thumb finger extended upward, stationary",Static,1,Raised index,"One hand, index finger extended upward, stationary",Dynamic,1,Spread hands,"Two hands, open palms facing down, hands stacked together in front, spreading outwards, once",Female,Denmark,Student,Danish,English,Advanced,Regular User,4,False,True,True,False,True,False,False,False,True,False,False,False,False
P_003,Dynamic,1,Index point up,"One hand, index finger extended, pointing upwards, repeatedly",Dynamic,1,Index point down,"Onde hand, index finger extended pointing down, moving downwards, repeatedly",Static,1,Silence sign ,"One hand, index finger extended placed over the mouth, stationary",Dynamic,1,Hand release,"One hand, closed palm facing outward, quickly opening and closing fingers, repeatedly",Static,1,Block view,"One hand, arm extended, open palm facing outward, blocking view in front, moving front-to-back, repeatedly",Dynamic,1,Hand wave left-right,"One hand, open palm facing forward, waving left-right, repeatedly",Static,1,Raised index,"One hand, index finger extended upward, stationary",Dynamic,1,Close lid,"One hand, open palm facing outward, moving up-down, repeatedly",Female,Poland,Student,Polish,English,Native Speaker,Advanced User,5,False,True,True,False,True,False,False,False,True,False,False,True,True
P_004,Dynamic,2,Listen sign + clockwise rotate,"One hand, curved hand, positioned on the side of the head, behind the ear, stationary + one hand, fingers pinching knob, rotating clockwise, repeatedly",Dynamic,1,Palm move down,"One hand, open palmfacing down, moving downwards, repeatedly",Dynamic,1,Hand pinch,"One hand, open hand with finger extended, all fingers tapping together, repeadetly",Dynamic,2,Hand release,"One hand, closed palm facing outward, quickly opening and closing fingers, repeatedly",Static,1,Block face,"One hand, open palm facing inward, blocking view in front, moving up-down, repeatedly",Dynamic,1,Hand wave left-right,"One hand, open palm facing forward, waving left-right, repeatedly",Static,1,Raised index,"One hand, index finger extended upward, stationary",Static,2,Cross hands + hand fist,"Two hands, open palms crossing in front, spreading sideways, once + one hand, closed palm, raised on the side, stationary",Male,Scotland,Student,Norwegian,English,Native Speaker,Software Developer,5,False,True,True,False,True,False,False,False,True,False,False,True,False
P_005,Dynamic,1,Palm move up,"One hand, open palm facing up, moving upwards, repeatedly",Dynamic,1,Palm move down,"One hand, open palm facing down, moving downwards, repeatedly",Dynamic,1,Hand swipe left,"One hand, open palm pointing front facing left, swiping leftwards, repeatedly",Dynamic,1,Hand swipe right,"One hand, open palm extended outward, swiping righttward",Static,1,Block view,"One hand, arms extended, open palm facing outward, blocking view in front, moving forward, onc",Dynamic,1,Unblock view,"One hand, arm extended, open palm facing forward, moving back inward",Static,1,Raised index,"One hand, index finger extended upward, stationary",Dynamic,1,Close lid,"One hand, open open palm facing down, moving downwards",Male,Denmark,Student,Danish,,Advanced,Software Developer,6,False,True,True,False,True,False,False,False,True,False,False,True,False
P_006,Dynamic,1,Index point up,"One hand, index finger extended, pointing upwards, repeatedly",Dynamic,1,Index point down,"One hand, index finger extended pointing down, moving downwards, repeatedly",Dynamic,1,Stack hands,"Two hands, hands open in front, stacking together downward, once",Dynamic,1,Unstack hands,"Two hands, hands stacked together in front, spreading outwards, once",Static,1,Block view,"One hand, palm facing outward, blocking view in front, moving forward, once",Dynamic,1,Hand swipe right,"One hand, open palm extended outward, swiping righttward",Static,1,Raised hand,"One hand, open and raised palm, facing forward, stationary",Dynamic,1,Hand wave left-right,"One hand, palm open facing forward, waving left-right, repeatedly",Male,Denmark,Student,Danish,English,Advanced,Advanced User,5,False,True,True,False,True,False,False,False,True,False,False,True,True
P_007,Dynamic,2,Listen sign + index point up,"One hand, index finger extended, positioned on the side of the head, pointing to ear, stationary + one hand, index finger extended, pointing upwards, repeatedly",Dynamic,1,Palm move down,"One hand, open palm facing down, moving downwards, repeatedly",Dynamic,1,Whisper sign,"One hand, open palm near mouth, turning face rightwards, once",Unknown,0,Unknown,Unknown,Static,1,Index point forward,"One hand, index finger extended, pointing forward, repeatedly",Dynamic,1,Hand unpinch,"One hand, fingers pinched together, moving outward",Static,1,Raised index,"One hand, index finger extended upward, stationary",Static,1,Thumbs up,"One hand, closed palm, thumb finger extended upward, stationary, both",Male,Denmark,Student,Danish,English,Advanced,Advanced User,3,False,False,False,False,True,False,False,False,True,False,False,True,False
P_008,Dynamic,2,Back palm move up + index point up,"One hand, open palm with back of the hand facing up, moving upwards, once ",Dynamic,1,Palm move down,"One hand, open palm facing down, moving downwards, once",Dynamic,1,Zip mouth to right,"One hand, thumb finger and index finger pinching together, swiping over mouth rightwards, once",Dynamic,1,Zip mouth to left,"One hand, thumb finger and index finger pinching together, swiping over mouth leftwards, once",Static,1,Block view,"One hand, arm extended, open palm facing outward, blocking view in front, moving front-to-back, repeatedly",Dynamic,1,Snap fingers,"One hand, thumb finger and middle finger flicking together, produce a snapping sound, once",Static,1,Raised hand,"One hand, open and raised palm, facing forward, stationary",Dynamic,1,Hand wave left-right,"One hand, open palm facing forward, waving left-right, repeatedly",Male,Denmark,Student,Danish,English,Advanced,Software Developer,5,False,True,True,False,True,False,False,False,True,False,False,True,False
P_009,Dynamic,1,Clockwise rotate,"One hand, fingers pinching knob, rotating clockwise, repeatedly",Dynamic,1,Counterclockwise rotate,"One hand, fingers pinching knob, rotating counterclockwise, repeatedly",Dynamic,1,Hand grab,"One hand, open palm facing front, closing fist inward, once",Dynamic,1,Hand release,"One hand, open palm facing outward, opening and closing fingers, repeatedly",Dynamic,1,Close lid,"One hand, open palm facing down, moving up-down",Dynamic,1,Open lid,"One hand, open palm facing up, moving upwards",Static,1,Raised hand,"One hand, open and raised palm, facing forward, stationary",Dynamic,1,Hand grab,"One hand, open palm facing down, closing fist inward, once",Male,Denmark,Student,Danish,English,Advanced,Software Developer,7,False,True,True,False,True,False,False,False,True,False,False,True,True
P_010,Dynamic,1,Index swipe up,"One hand, index finger extended pointing sideward, swiping upward, repeatedly",Dynamic,1,Index swipe down  ,"One hand, index finger extended pointing sideward, swiping downwards, repeatedly",Static,1,Cover mouth,"One hand, four fingers extended placed over the mouth, stationary",Dynamic,1,Uncover mouth,"One hand, open palm touching mouth, moving away from mouth, outward",Static,1,Cross hands,"Two hands, open palms facing out crossing in front, stationary",Dynamic,1,Unstack hands,"Two hands, open palms, hands stacked together in front, spreading outwards, once",Static,1,Raised index,"One hand, index finger extended upward, stationary",Dynamic,1,Close lid,"One hand, open palm facing down, moving downwards",Other/Prefer Not to Say,Denmark,Student,Danish,English,Advanced,Software Developer,4,False,True,True,False,True,False,False,False,False,False,False,True,False
