id_video,c1_form,c1_composition,c1_command,c1_description,c2_form,c2_composition,c2_command,c2_description,c3_form,c3_composition,c3_command,c3_description,c4_form,c4_composition,c4_command,c4_description,c5_form,c5_composition,c5_command,c5_description,c6_form,c6_composition,c6_command,c6_description,c7_form,c7_composition,c7_command,c7_description,c8_form,c8_composition,c8_command,c8_description,gender,country_origin,ocuppation,native_language,second_language,english_proficiency,computer_proficiency,previous_ucp_exp,exp_bitrix24,exp_zoom,exp_skype,exp_livestorm,exp_microsoft_teams,exp_gotomeeting,exp_lucid_meetings,exp_adobe_connect,exp_google_meet,exp_join_me,exp_teamviewer_meeting,exp_discord,previous_hg_exp
P_000,Static,1,Index up,Hold the index finger up,Static,1,Index down,Hold the index finger downwards,Dynamic,1,Zip mouth,Imitate pulling a zipper across your lips to shut them,Dynamic,1,Release zipper at mouth,Hold imaginary zipper at end of mouth and release it,Dynamic,1,Pinch,All fingers except the thumb is placed up against each other then a pinch with the fingers and the thumb is done (or with index and thumb),Dynamic,1,Unpinch,"All fingers is placed up against each other, like a whole finger pinch, and then fingers are moved away from eachother (or with index or thumb)",Static,1,Raised hand,Open palm raised,Dynamic,1,Pinch,All fingers except the thumb is placed up against each other then a pinch with the fingers and the thumb is done (or with index and thumb),Male,Denmark,Student,Danish,English,Advanced,Software Developer,4,False,True,True,False,True,False,False,False,True,False,False,True,False
P_001,Static,1,Listen,Hold hand up to ear in a cup shape as to hear something silent,Dynamic,1,Ear to point down,Touch ear to point downwards with index finger,Static,1,Cross hands/arms,"Cross both open hands or arms, as to indicate a ""x""",Dynamic,1,Swipe right,Swipe from left to right with open palm or finger facing the camera,Dynamic,1,Swipe left,Swipe from right to left with open palm or finger facing the camera,Unkwown,0,Unkwown,Unkwown,Static,1,Raised hand,Open palm raised,Dynamic,1,Wave,Normal side to side wave or normal open close hand wave - may be done with both hands,Female,China,Student,Danish,English,Intermediate,Regular User,4,False,True,True,False,True,False,False,False,True,False,False,True,False
P_002,Dynamic,1,Ear to point up,Touch ear to point upwards with index finger,Dynamic,1,Ear to point down,Touch ear to point downwards with index finger,Dynamic,1,Ear to spread hands,"Touch ear to open palms, facing down, together and just above table and then move outwards",Dynamic,1,Ear to point up,Touch ear to point upwards with index finger,Dynamic,1,Eyes to spread hands,"Point with index and middle finger to own eyes and then point to imaginary person in front to open palms, facing down, together and just above table and then move outwards",Dynamic,1,Eyes to thumb up ,Point with index and middle finger to own eyes and then make a thumb up with a single hand,Static,1,Index up,Hold the index finger up,Dynamic,1,Spread hands,"Open palms, facing down, together and just above table and then move outwards",Female,Denmark,Student,Danish,English,Advanced,Regular User,4,False,True,True,False,True,False,False,False,True,False,False,False,False
P_003,Dynamic,1,Index up up,Hold the index finger up and move the arm up,Static,1,Index down,Hold the index finger downwards,Static,1,Index to mouth,"Hold the index finger, pointed up, up against the mouth",Dynamic,1,Release,From fist open hand,Static,1,Block camera,Open palm moved slightly towards the camera,Dynamic,1,Wave,Normal side to side wave or normal open close hand wave - may be done with both hands,Static,1,Index up,Hold the index finger up,Dynamic,1,Close lid,"Open palm, facing up, to facing down but imitating closing a lid or open palm, arm partially extended out and slightly up to then putting it down",Female,Poland,Student,Polish,English,Native Speaker,Advanced User,5,False,True,True,False,True,False,False,False,True,False,False,True,True
P_004,Dynamic,1,Knob clockwise,Imitate holding a knob midair to then turn it clockwise,Dynamic,1,Wave down,"Open palm, facing down, moving down and up (repeat a few times)",Dynamic,1,Pinch,All fingers except the thumb is placed up against each other then a pinch with the fingers and the thumb is done (or with index and thumb),Dynamic,1,Unpinch,"All fingers is placed up against each other, like a whole finger pinch, and then fingers are moved away from eachother (or with index or thumb)",Dynamic,1,Hand down from above head,"Move hand, with the back of the hand facing the camera, or facing down, from above the head to below the head",Dynamic,1,Wave up down,"Open palm, facing the camera, from below the head to above to below",Static,1,Index up,Hold the index finger up,Static,1,Cross hands/arms,"Cross both open hands or arms, as to indicate a ""x""",Male,Scotland,Student,Norwegian,English,Native Speaker,Software Developer,5,False,True,True,False,True,False,False,False,True,False,False,True,False
P_005,Dynamic,1,Wave up,"Open palm, facing down or facing up, moving up and down (repeat a few times)",Dynamic,1,Wave down,"Open palm, facing down, moving down and up (repeat a few times)",Dynamic,1,Swipe right,Swipe from left to right with open palm or finger facing the camera,Dynamic,1,Swipe left,Swipe from right to left with open palm or finger facing the camera,Static,1,Block camera,Open palm moved slightly towards the camera,Dynamic,1,Palm away from camera,Open palm slightly towards camera to away from camera,Static,1,Index up,Hold the index finger up,Dynamic,1,Close lid,"Open palm, facing up, to facing down but imitating closing a lid or open palm, arm partially extended out and slightly up to then putting it down",Male,Denmark,Student,Danish,,Advanced,Software Developer,6,False,True,True,False,True,False,False,False,True,False,False,True,False
P_006,Static,1,Index up,Hold the index finger up,Static,1,Index down,Hold the index finger downwards,Dynamic,1,One hand on top of the other,"One palm over the table facing down, the other palm pushes down on the first like a button",Dynamic,1,Remove palm from atop the other,"Both palms over the table facing down one atop the other, remove the top palm like removing a lid",Static,1,Block camera,Open palm moved slightly towards the camera,Dynamic,1,Swipe left,Swipe from right to left with open palm or finger facing the camera,Static,1,Raised hand,Open palm raised,Dynamic,1,Wave,Normal side to side wave or normal open close hand wave - may be done with both hands,Male,Denmark,Student,Danish,English,Advanced,Advanced User,5,False,True,True,False,True,False,False,False,True,False,False,True,True
P_007,Dynamic,1,Ear to point up,Touch ear to point upwards with index finger,Dynamic,1,Wave down,"Open palm, facing down, moving down and up (repeat a few times)",Dynamic,1,Whisper,Slightly cover the mouth as to talk so only the one to your side can hear you,Unkwown,0,Unkwown,Unkwown,Dynamic,1,Press button,Press imaginary button so point with index finger towards the screen,Dynamic,1,Unpinch,"All fingers is placed up against each other, like a whole finger pinch, and then fingers are moved away from eachother (or with index or thumb)",Static,1,Index up,Hold the index finger up,Static,1,Thumbs up,Both hands or single hand thumbs up,Male,Denmark,Student,Danish,English,Advanced,Advanced User,3,False,False,False,False,True,False,False,False,True,False,False,True,False
P_008,Dynamic,1,Palm up,Palm facing upward or downward and then raising it,Dynamic,1,Palm down ,Palm facing down and then lowering it,Dynamic,1,Zip mouth,Imitate pulling a zipper across your lips to shut them,Dynamic,1,Unzip mouth,"Imitate opening a zipper across your lips to open them (so more of a pushing the zipper, instead of pulling)",Static,1,Block camera,Open palm moved slightly towards the camera,Dynamic,1,Snap finger,Snap finger,Static,1,Raised hand,Open palm raised,Dynamic,1,Wave,Normal side to side wave or normal open close hand wave - may be done with both hands,Male,Denmark,Student,Danish,English,Advanced,Software Developer,5,False,True,True,False,True,False,False,False,True,False,False,True,False
P_009,Dynamic,1,Knob clockwise,Imitate holding a knob midair to then turn it clockwise,Dynamic,1,Knob counter clockwise,Imitate holding a knob midair to then turn it counter clockwise,Dynamic,1,Grab,Slightly open hand to  closing the hand to a fist,Dynamic,1,Release,From fist open hand,Dynamic,1,Close lid,"Open palm, facing up, to facing down but imitating closing a lid or open palm, arm partially extended out and slightly up to then putting it down",Dynamic,1,Palm up,Palm facing upward or downward and then raising it,Static,1,Raised hand,Open palm raised,Dynamic,1,Grab,Slightly open hand to  closing the hand to a fist,Male,Denmark,Student,Danish,English,Advanced,Software Developer,7,False,True,True,False,True,False,False,False,True,False,False,True,True
