Gesture,Group1,Group2,Z-Stat,p-value,Corrected p-value
Increase volume,Human-S,Human-NS,6.390644422470538,1.6518810260737078e-10,2.576934400674984e-08
Increase volume,Human-S,LLM-S,8.35306936621586,6.651156324546359e-17,1.0375803866292321e-14
Increase volume,Human-S,LLM-NS,11.179488279575873,5.138542101682433e-29,8.016125678624595e-27
Increase volume,Human-S,LLM-HP,11.348875594013936,7.512251458172398e-30,1.171911227474894e-27
Increase volume,Human-S,LLM-LDMK,10.220746694990776,1.6010280935157264e-24,2.4976038258845333e-22
Increase volume,Human-S,LLM-COMB,11.516653879252127,1.087527215211964e-30,1.696542455730664e-28
Increase volume,Human-NS,LLM-NS,5.9646390348095135,2.4517542925124393e-09,3.8247366963194056e-07
Increase volume,Human-NS,LLM-HP,6.322484833773766,2.5739029337112116e-10,4.01528857658949e-08
Increase volume,Human-NS,LLM-LDMK,4.7241517262487065,2.3107785202161175e-06,0.00036048144915371434
Increase volume,Human-NS,LLM-COMB,6.5743931924142505,4.885198192197433e-11,7.620909179827996e-09
Increase volume,LLM-S,LLM-NS,4.059500957334395,4.917770631070555e-05,0.007671722184470066
Increase volume,LLM-S,LLM-HP,4.555546430827337,5.2249572200424e-06,0.0008150933263266144
Increase volume,LLM-S,LLM-COMB,4.875428389403131,1.0857257818953535e-06,0.00016937322197567515
Decrease volume,Human-S,Human-NS,4.717295882485523,2.3899998568829182e-06,0.00037283997767373524
Decrease volume,Human-S,LLM-S,11.594101091260265,4.414763950103715e-31,6.887031762161795e-29
Decrease volume,Human-S,LLM-NS,12.565899022527601,3.2515778659880565e-36,5.072461470941368e-34
Decrease volume,Human-S,LLM-HP,12.660676180146757,9.765457733460539e-37,1.523411406419844e-34
Decrease volume,Human-S,LLM-LDMK,12.513522097879465,6.296898618539091e-36,9.823161844920981e-34
Decrease volume,Human-S,LLM-COMB,12.958997954070984,2.0895929961692878e-38,3.259765074024089e-36
Decrease volume,Human-NS,LLM-S,7.986871589819571,1.3840612687025865e-15,2.159135579176035e-13
Decrease volume,Human-NS,LLM-NS,9.161670399885123,5.110010785502696e-20,7.971616825384205e-18
Decrease volume,Human-NS,LLM-HP,9.317424121454719,1.1919893179587098e-20,1.8595033360155873e-18
Decrease volume,Human-NS,LLM-LDMK,9.136856289618594,6.429413057466344e-20,1.0029884369647498e-17
Decrease volume,Human-NS,LLM-COMB,9.685414539545077,3.47794719445871e-22,5.425597623355587e-20
Mute microphone,Human-S,LLM-S,4.301259183632631,1.6983027442632154e-05,0.002649352281050616
Mute microphone,Human-S,LLM-HP,8.791640661491664,1.4739153965465103e-18,2.299308018612556e-16
Mute microphone,Human-S,LLM-LDMK,7.801362191163965,6.1242461661595995e-15,9.553824019208974e-13
Mute microphone,Human-S,LLM-COMB,7.801362191163965,6.1242461661595995e-15,9.553824019208974e-13
Mute microphone,Human-NS,LLM-S,4.90541315456599,9.323088492294771e-07,0.00014544018047979841
Mute microphone,Human-NS,LLM-NS,4.091701233213507,4.2822012413610746e-05,0.006680233936523276
Mute microphone,Human-NS,LLM-HP,9.296958606057874,1.4452046018248567e-20,2.2545191788467763e-18
Mute microphone,Human-NS,LLM-LDMK,8.331090949173777,8.010076382625002e-17,1.2495719156895004e-14
Mute microphone,Human-NS,LLM-COMB,8.331090949173777,8.010076382625002e-17,1.2495719156895004e-14
Mute microphone,LLM-S,LLM-HP,5.134882340774651,2.823205912516787e-07,4.404201223526188e-05
Mute microphone,LLM-S,LLM-LDMK,3.9521473211092824,7.745303093103023e-05,0.012082672825240715
Mute microphone,LLM-S,LLM-COMB,3.9521473211092824,7.745303093103023e-05,0.012082672825240715
Mute microphone,LLM-NS,LLM-HP,5.873447084889488,4.268253139252891e-09,6.65847489723451e-07
Mute microphone,LLM-NS,LLM-LDMK,4.732894524278958,2.213405221230552e-06,0.0003452912145119661
Mute microphone,LLM-NS,LLM-COMB,4.732894524278958,2.213405221230552e-06,0.0003452912145119661
Unmute microphone,Human-S,LLM-NS,3.6553443989467187,0.000256836950891206,0.04006656433902813
Unmute microphone,Human-S,LLM-HP,3.6886104444943175,0.0002254821447012335,0.03517521457339243
Unmute microphone,Human-S,LLM-LDMK,3.9694715554017668,7.203220472582679e-05,0.011237023937228979
Unmute microphone,Human-S,LLM-COMB,4.261509590091515,2.0305063898298026e-05,0.003167589968134492
Unmute microphone,Human-NS,LLM-S,4.423658398112178,9.704342185855484e-06,0.0015138773809934556
Unmute microphone,Human-NS,LLM-NS,4.474919749873515,7.644001751483829e-06,0.0011924642732314772
Unmute microphone,Human-NS,LLM-HP,4.467691768829961,7.906812109944083e-06,0.0012334626891512771
Unmute microphone,Human-NS,LLM-LDMK,4.727545760023238,2.272498603479154e-06,0.000354509782142748
Unmute microphone,Human-NS,LLM-COMB,4.995590724691706,5.865594016402216e-07,9.150326665587457e-05
Turn off camera,Human-S,LLM-S,3.791392578929593,0.0001498049407595598,0.023369570758491328
Turn off camera,Human-S,LLM-HP,4.339281050009917,1.4294960956747699e-05,0.002230013909252641
Turn off camera,Human-S,LLM-LDMK,4.339281050009917,1.4294960956747699e-05,0.002230013909252641
Turn off camera,Human-S,LLM-COMB,4.339281050009917,1.4294960956747699e-05,0.002230013909252641
Turn off camera,Human-NS,LLM-S,3.791392578929593,0.0001498049407595598,0.023369570758491328
Turn off camera,Human-NS,LLM-HP,4.339281050009917,1.4294960956747699e-05,0.002230013909252641
Turn off camera,Human-NS,LLM-LDMK,4.339281050009917,1.4294960956747699e-05,0.002230013909252641
Turn off camera,Human-NS,LLM-COMB,4.339281050009917,1.4294960956747699e-05,0.002230013909252641
Turn on camera,Human-S,LLM-S,4.062941361562151,4.845820585045316e-05,0.0075594801126706935
